name,description,category
typescript,"Strongly typed superset of JavaScript improving maintainability in large-scale applications","language/framework"
go,"Compiled language optimized for concurrency and cloud-native services","language/framework"
rust,"Systems programming language emphasizing memory safety and performance","language/framework"
python,"High-level language dominant in AI, data science, and rapid prototyping","language/framework"
kotlin,"Modern JVM language improving developer ergonomics over Java","language/framework"
zig,"Emerging low-level language focused on simplicity and control without hidden behavior","language/framework"
bun,"Fast JavaScript runtime aiming to replace Node.js tooling stack","platform"
nextjs,"Full-stack React framework enabling SSR and edge-rendered applications","language/framework"
svelte,"Compiler-based frontend framework reducing runtime overhead","language/framework"
spring boot,"Java framework simplifying microservice and backend development","language/framework"
node.js,"JavaScript runtime widely used for backend and tooling ecosystems","platform"
deno,"Secure JavaScript runtime with modern defaults and built-in tooling","platform"
docker,"Containerization platform standardizing application deployment environments","platform"
kubernetes,"Container orchestration platform for scaling distributed systems","platform"
terraform,"Infrastructure as Code tool for provisioning cloud resources declaratively","tool"
pulumi,"IaC tool using general-purpose languages instead of declarative configs","tool"
ansible,"Configuration management and automation tool for infrastructure tasks","tool"
github actions,"CI/CD automation tightly integrated with Git-based workflows","tool"
gitlab ci,"End-to-end DevOps platform with built-in CI/CD pipelines","platform"
jenkins,"Legacy but widely used automation server for CI/CD pipelines","tool"
prometheus,"Monitoring system designed for metrics collection and alerting","tool"
grafana,"Visualization tool for observability dashboards and monitoring data","tool"
opentelemetry,"Standard for distributed tracing and observability instrumentation","tool"
datadog,"Commercial observability platform integrating logs, metrics, and traces","platform"
postgresql,"Advanced open-source relational database with strong consistency guarantees","platform"
mongodb,"NoSQL document database optimized for flexible schema applications","platform"
redis,"In-memory data store used for caching and real-time systems","platform"
snowflake,"Cloud-native data warehouse optimized for analytics workloads","platform"
kafka,"Distributed event streaming platform for real-time data pipelines","platform"
rabbitmq,"Message broker supporting reliable asynchronous communication","platform"
graphql,"Query language for APIs enabling flexible client-driven data fetching","language/framework"
rest,"Standard architectural style for web APIs using HTTP semantics","technique"
grpc,"High-performance RPC framework using protocol buffers","language/framework"
webassembly,"Portable binary format enabling near-native execution in browsers and servers","platform"
cloudflare workers,"Edge computing platform for running serverless code globally","platform"
aws lambda,"Serverless compute service for event-driven applications","platform"
azure functions,"Microsoft’s serverless offering integrated with Azure ecosystem","platform"
google cloud run,"Serverless container platform for scalable applications","platform"
react,"Component-based frontend library dominating modern web development","language/framework"
vue,"Progressive frontend framework with approachable learning curve","language/framework"
angular,"Full-featured frontend framework for enterprise applications","language/framework"
tailwind css,"Utility-first CSS framework for rapid UI development","language/framework"
bootstrap,"Traditional CSS framework for responsive design systems","language/framework"
electron,"Framework for building cross-platform desktop apps with web technologies","platform"
unity,"Game engine supporting cross-platform 2D and 3D development","platform"
unreal engine,"High-fidelity game engine with advanced rendering capabilities","platform"
godot,"Open-source game engine gaining popularity for indie development","platform"
pytorch,"Deep learning framework widely used in research and production","language/framework"
tensorflow,"Machine learning framework with strong ecosystem and tooling","language/framework"
langchain,"Framework for building applications with large language models","language/framework"
vector databases,"Databases optimized for similarity search in AI applications","platform"
feature flags,"Technique for decoupling deployment from feature release","technique"
trunk-based development,"Version control strategy minimizing long-lived branches","technique"
microservices,"Architectural style structuring systems as independent services","technique"
monolith,"Single-deployment architecture often simpler for smaller systems","technique"
event-driven architecture,"System design based on asynchronous event flows","technique"
domain-driven design,"Approach focusing on modeling software around business domains","technique"
platform engineering,"Practice of building internal developer platforms for productivity","technique"
finops,"Discipline focused on managing and optimizing cloud costs","technique"
chaos engineering,"Practice of injecting failures to test system resilience","technique"
prompt engineering,"Technique for structuring inputs to guide AI model outputs","technique"
ai-assisted coding,"Use of AI tools to augment developer productivity","technique"
nginx,"High-performance web server and reverse proxy widely used in production systems","platform"
apache kafka streams,"Stream processing library for building real-time applications on Kafka","tool"
elasticsearch,"Distributed search and analytics engine for log and text data","platform"
logstash,"Data processing pipeline for ingesting and transforming logs","tool"
kibana,"Visualization layer for exploring Elasticsearch data","tool"
supabase,"Open-source backend-as-a-service built on PostgreSQL","platform"
firebase,"Backend-as-a-service providing auth, database, and hosting","platform"
planetscale,"Serverless MySQL platform with branching and scaling","platform"
cockroachdb,"Distributed SQL database designed for resilience and scale","platform"
duckdb,"In-process analytical database optimized for OLAP workloads","tool"
airflow,"Workflow orchestration platform for scheduling data pipelines","platform"
dbt,"Data transformation tool for analytics engineering","tool"
hugging face transformers,"Library for state-of-the-art natural language processing models","language/framework"
vllm,"High-performance inference engine for large language models","platform"
llamaindex,"Framework for connecting LLMs with external data sources","language/framework"
ray,"Distributed computing framework for parallel and ML workloads","language/framework"
fastapi,"Modern Python web framework for building APIs with performance","language/framework"
express,"Minimal Node.js web framework for building APIs","language/framework"
nestjs,"Opinionated Node.js framework for scalable server-side applications","language/framework"
t3 stack,"Opinionated full-stack TypeScript stack combining Next.js, tRPC, and Prisma","language/framework"
trpc,"Type-safe RPC framework for TypeScript applications","language/framework"
prisma,"Next-generation ORM for Node.js and TypeScript","tool"
vite,"Fast frontend build tool leveraging native ES modules","tool"
webpack,"Bundler for JavaScript applications with extensive ecosystem","tool"
rollup,"Module bundler optimized for libraries and tree-shaking","tool"
esbuild,"Extremely fast JavaScript bundler and minifier","tool"
playwright,"End-to-end testing framework for modern web apps","tool"
cypress,"Frontend testing framework focused on developer experience","tool"
jest,"JavaScript testing framework commonly used with React and Node","tool"
vitest,"Fast unit testing framework powered by Vite","tool"
storybook,"UI component development and testing environment","tool"
helm,"Kubernetes package manager for defining and installing applications","tool"
argo cd,"Declarative GitOps continuous delivery tool for Kubernetes","tool"
flux,"GitOps tool for continuous delivery on Kubernetes","tool"
istio,"Service mesh providing traffic management and observability","platform"
linkerd,"Lightweight service mesh for Kubernetes","platform"
consul,"Service networking platform for service discovery and configuration","platform"
vault,"Secrets management tool for protecting sensitive data","tool"
oauth 2.0,"Authorization framework for secure API access","technique"
openid connect,"Identity layer built on top of OAuth 2.0","technique"
jwt,"Compact token format for securely transmitting information","technique"
websockets,"Protocol enabling real-time bidirectional communication","technique"
server-sent events,"Server push technology for streaming updates over HTTP","technique"
edge computing,"Distributed computing paradigm bringing computation closer to users","technique"
jamstack,"Architecture emphasizing static sites with decoupled services","technique"
cqrs,"Pattern separating read and write models for scalability","technique"
event sourcing,"Pattern storing state changes as a sequence of events","technique"
zero trust architecture,"Security model assuming no implicit trust in systems","technique"